last_updated,doc_type,doc_id,language,filename,project_id,website_category,url
2022-01-20 00:00:00,11,1,en,2723_PDD CONDOTO-IRO REDD+ 22.12.21 v3.pdf,2723,VCS Pipeline Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=60143&IDKEY=siofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3m82937197
2021-11-25 00:00:00,61,2,en,CONSEJO COMUNITARIO MAYOR CONDOTO Y RIO IRO.pdf,2723,VCS Pipeline Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=58146&IDKEY=niofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3f80183334
2023-08-28 00:00:00,11,3,en,CCB_VCS_PD_Condoto REDD+_V4.1_02052023.pdf,2723,VCS Registration Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96183&IDKEY=lkjalskjf098234kj28098sfkjlf098098kl32lasjdflkj909k132636357
2022-06-19 00:00:00,32,4,en,VCS-Registration-Representation-Multiple-Representors-v4.1 firmas.pdf,2723,VCS Registration Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68437&IDKEY=ulksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098n94374623
2023-08-28 00:00:00,21,5,en,CCB_VCS_Validation_Report_CONDOTO 25112022 Clean.pdf,2723,VCS Registration Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96185&IDKEY=9097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87n132639115
2022-06-19 00:00:00,33,6,en,VCS-Issuance-Representation-Multiple-Representors-v4.1 firmas.pdf,2723,VCS Issuance Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68438&IDKEY=9097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87l94376002
2023-09-20 00:00:00,12,7,en,CCB_VCS_MR_Condoto REDD+_V4.2_16082023 CARBO Clean.pdf,2723,VCS Issuance Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=97562&IDKEY=r097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn877134537998
2022-06-17 00:00:00,34,8,en,VCS-Validation-Representation-v4.1 CONDOTO_1 (1).pdf,2723,VCS Issuance Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68326&IDKEY=d903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfn94221554
2023-08-28 00:00:00,22,9,en,20230818 Clean CCB_VCS_Verification_Report_CONDOTO.pdf,2723,VCS Issuance Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96184&IDKEY=slksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098u132637736
2022-06-17 00:00:00,35,10,en,VCS-Verification-Representation-v4.1 CONDOTO (002) (1).pdf,2723,VCS Issuance Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68327&IDKEY=j98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8da94222933
